AIY_adv	TUY_adv	OccTime_adv	HeadwayFoll_adv	GapFoll_adv	AIY_stop	TUY_stop	OccTime_stop	HeadwayFoll_stop	GapFoll_stop	travel_time	adv_indication	decision	car_follow	occ_ratio	month	day	hour
0.5	99.5	0.4	9.5	9.1	7.3	92.7	65.8	11.4	10.4	6.8	0.0	0.0	0.0	164.5	01	01	18
98.5	1.5	0.4	24.3	24.0	3.1	101.9	0.8	24.8	24.1	4.6	1.0	1.0	0.0	2.0	01	01	18
0.0	105.0	0.3	69.6	69.1	5.0	100.0	73.2	32.3	29.8	5.0	0.0	0.0	0.0	244.0	01	01	18
100.4	4.6	0.4	47.7	47.1	105.0	0.0	1.0	23.0	21.1	4.6	1.0	1.0	0.0	2.5	01	01	18
3.0	97.0	0.3	25.5	25.2	9.6	90.4	55.0	27.8	26.9	6.6	0.0	0.0	0.0	183.3333	01	01	18
97.4	2.6	0.5	30.3	29.7	3.0	102.0	1.2	28.7	27.6	5.6	1.0	1.0	0.0	2.4	01	01	18
103.9	1.1	0.3	32.0	31.6	2.7	92.3	0.7	36.2	35.4	3.8	1.0	1.0	0.0	2.3333	01	01	18
103.9	1.1	0.4	12.9	12.5	3.3	91.7	0.9	11.9	10.9	4.4	1.0	1.0	0.0	2.25	01	01	18
0.3	94.7	0.4	1.4	1.0	6.5	88.5	62.2	3.2	2.3	6.2	0.0	0.0	1.0	155.5	01	01	18
97.2	2.8	0.4	49.0	48.7	2.1	102.9	1.0	58.2	40.3	4.9	1.0	1.0	0.0	2.5	01	01	18
1.1	98.9	0.3	41.4	40.8	7.3	92.7	3.2	33.4	32.0	6.2	0.0	1.0	0.0	10.6667	01	01	19
112.8	3.3	0.3	33.9	33.6	1.2	115.8	0.9	33.9	32.9	4.5	1.0	1.0	0.0	3.0	01	01	19
2.1	114.9	0.8	2.4	1.2	8.8	108.2	83.0	48.2	47.1	6.7	0.0	0.0	1.0	103.75	01	01	19
115.1	1.9	0.3	4.3	4.0	1.5	115.5	0.7	3.9	3.2	3.4	1.0	1.0	0.0	2.3333	01	01	19
116.4	0.6	0.3	56.9	56.5	3.0	114.0	0.7	66.4	36.7	3.6	1.0	1.0	0.0	2.3333	01	01	19
2.1	104.4	0.4	17.3	16.9	9.2	97.3	63.7	19.4	18.4	7.1	0.0	0.0	0.0	159.25	01	01	19
3.5	101.5	0.4	20.7	20.3	10.2	94.8	61.0	22.3	21.3	6.7	0.0	0.0	0.0	152.5	01	01	19
102.7	2.3	0.2	43.7	43.1	1.7	114.4	0.8	31.0	28.8	4.0	1.0	1.0	0.0	4.0	01	01	19
2.2	114.8	0.6	17.0	16.5	8.7	108.3	74.3	39.5	35.4	6.5	0.0	0.0	0.0	123.8333	01	01	19
117.2	5.6	0.4	15.3	15.1	121.8	1.0	1.0	48.7	46.6	4.6	1.0	1.0	0.0	2.5	01	01	19
0.2	94.8	0.4	56.6	56.2	8.6	86.4	54.4	35.7	33.9	8.4	0.0	0.0	0.0	136.0	01	01	19
1.3	98.7	0.4	55.9	55.5	7.9	92.1	55.6	84.6	46.3	6.6	0.0	0.0	0.0	139.0	01	01	19
2.7	97.3	0.2	11.3	10.9	9.6	90.4	68.2	14.1	13.3	6.9	0.0	0.0	0.0	341.0	01	01	19
1.0	99.0	0.4	24.3	23.9	8.7	91.3	64.6	27.2	26.2	7.7	0.0	0.0	0.0	161.5	01	01	20
104.7	0.3	0.3	27.2	26.7	4.0	91.0	0.8	19.7	18.1	4.3	1.0	1.0	0.0	2.6667	01	01	20
3.5	91.5	0.4	3.8	3.5	10.9	84.1	45.6	6.9	6.1	7.4	0.0	0.0	0.0	114.0	01	01	20
